mean,min,max,class
-4.377655,-243.19928,123.73322,turkmence
-4.668817,-259.26974,128.63159,turkmence
-4.667391,-283.82773,126.84264,turkmence
-4.4795003,-240.88223,126.28482,turkmence
-4.4132524,-239.92969,122.55492,turkmence
-3.8871238,-296.95416,140.38498,turkmence
-3.59311,-357.3962,105.95195,turkmence
-3.4045951,-261.07535,93.69424,turkmence
-3.408376,-282.93213,114.45493,turkmence
-3.5066462,-319.31342,131.80267,turkmence
-3.445826,-320.1753,112.18649,turkmence
-3.2542908,-290.2971,115.31488,turkmence
-3.1625702,-271.43185,120.54868,turkmence
-3.3902578,-285.0527,98.89361,turkmence
-3.6118083,-324.45178,105.57652,turkmence
-3.574042,-304.73547,109.956085,turkmence
-3.3170724,-282.93753,115.07509,turkmence
-3.3570282,-290.89136,106.36136,turkmence
-3.6104856,-293.20316,125.41707,turkmence
-3.472339,-305.0492,94.13006,turkmence
-3.3136132,-276.3684,107.678085,turkmence
-3.5531943,-312.04715,119.56946,turkmence
-3.4585452,-275.58072,129.34468,turkmence
-3.712384,-325.04196,91.99591,turkmence
-3.303212,-270.13333,106.294334,turkmence
-3.5312116,-297.56213,108.55814,turkmence
-3.3856766,-298.4258,127.72883,turkmence
-3.4345462,-292.53348,119.857346,turkmence
-3.4652445,-285.65164,127.30367,turkmence
-3.5483587,-301.0529,101.23749,turkmence
-3.695807,-287.22678,122.817375,turkmence
-3.5482702,-311.9182,102.135025,turkmence
-3.4741383,-279.90598,124.15646,turkmence
-3.6201,-287.6495,111.75732,turkmence
-3.4017253,-286.5567,113.564896,turkmence
-3.619007,-297.59262,103.402534,turkmence
-3.8319223,-344.81638,106.62771,turkmence
-3.0835967,-282.13602,124.54263,turkmence
-2.8423374,-261.69717,135.62337,turkmence
-2.9290173,-277.02908,130.57607,turkmence
-2.993033,-289.50864,143.82323,turkmence
-3.1915438,-312.04443,122.47543,turkmence
-3.1031597,-301.16254,135.34583,turkmence
-3.2070234,-311.66385,116.96586,turkmence
-3.8726795,-378.3656,86.15602,turkmence
-3.3836868,-278.1165,109.35215,turkmence
-3.5053113,-270.61697,124.172714,turkmence
-3.6426153,-326.04373,100.40453,turkmence
-3.4819303,-288.66373,94.64771,turkmence
-3.4153485,-268.85007,117.881935,turkmence
-3.5784574,-318.97824,123.18409,turkmence
-3.6474483,-310.7803,110.31008,turkmence
-3.7098737,-309.2096,115.983765,turkmence
-3.6214075,-315.2869,106.98372,turkmence
-3.6274412,-326.57913,105.7511,turkmence
-3.8946495,-355.51074,90.79332,turkmence
-3.3516772,-250.56056,128.06204,turkmence
-3.495595,-316.7913,115.76835,turkmence
-3.4776127,-298.97653,120.90668,turkmence
-3.6066017,-309.11514,109.58262,turkmence
-3.5503874,-298.81134,112.781136,turkmence
-3.723144,-314.29556,107.31704,turkmence
-3.589555,-283.53543,125.90785,turkmence
-3.4898055,-271.29953,104.28062,turkmence
-3.6174676,-316.01974,107.70689,turkmence
-3.6319253,-286.22424,125.496735,turkmence
-4.5085526,-310.13367,126.14862,turkmence
-4.46569,-327.91312,119.82408,turkmence
-4.1554074,-280.6361,112.08382,turkmence
-4.2431827,-305.514,119.850975,turkmence
-4.3670297,-343.2642,116.505806,turkmence
-4.243835,-294.39444,106.86952,turkmence
-4.3631287,-314.64587,125.308876,turkmence
-4.4635596,-305.54132,98.08095,turkmence
-3.769668,-310.6914,107.04996,turkmence
-4.134837,-316.5839,132.3567,turkmence
-3.5004983,-217.13873,124.54104,turkmence
-2.3101988,-228.26869,120.5401,turkmence
-2.020111,-218.69536,142.07054,turkmence
-2.9684095,-221.02602,135.25063,turkmence
-2.825126,-243.97379,133.03601,turkmence
-2.6700385,-233.53595,127.10619,turkmence
-3.5654001,-245.5832,133.72682,turkmence
-4.57174,-259.4023,107.10266,turkmence
-4.5956707,-261.19342,127.99532,turkmence
-4.45597,-307.39233,135.56743,turkmence
-3.9172332,-305.069,116.03089,turkmence
-1.3048693,-225.27682,102.86865,turkmence
-3.0866828,-248.28804,103.5249,turkmence
-3.2918797,-280.75357,118.5436,turkmence
-3.2687383,-298.7206,131.43118,turkmence
-3.2850442,-290.7254,122.23799,turkmence
-3.3376813,-308.75134,116.42786,turkmence
-2.294516,-263.94977,111.51794,turkmence
0.46926886,-170.11838,118.79649,turkmence
0.40044928,-179.21754,100.13997,turkmence
-5.557773,-322.25827,162.6616,turkmence
-5.7839,-325.79916,158.99693,turkmence
-5.5907483,-334.92764,173.85042,turkmence
-5.4527607,-343.3662,178.36491,turkmence
-5.6148005,-350.24188,171.73602,turkmence
-5.6016607,-354.28204,174.97977,turkmence
-5.9414973,-319.74994,158.71326,turkmence
-5.6130166,-323.30048,153.21265,turkmence
-5.440852,-320.26373,163.1607,turkmence
-5.4573565,-341.93634,165.93964,turkmence
-5.694628,-341.51004,147.65079,turkmence
-5.45778,-331.28455,180.83575,turkmence
-5.9778194,-328.8745,168.43202,turkmence
-5.4466195,-334.5894,172.97485,turkmence
-5.6441875,-309.97922,158.96626,turkmence
-5.3839035,-337.92612,189.56232,turkmence
-5.865846,-319.2546,157.6299,turkmence
-5.45495,-332.71588,171.46883,turkmence
-5.6881714,-347.1222,184.62341,turkmence
-6.0421,-338.21094,146.56825,turkmence
-5.7673664,-341.98773,152.97272,turkmence
-5.6521797,-337.447,160.97333,turkmence
-5.413877,-340.65814,174.3919,turkmence
-5.5594106,-341.2687,172.82864,turkmence
-6.0308433,-320.00714,168.22137,turkmence
-5.879752,-338.41718,165.69507,turkmence
-5.553562,-332.9956,171.77475,turkmence
-5.6872034,-348.00793,168.38275,turkmence
-5.726168,-337.33972,166.05887,turkmence
-5.516695,-339.33545,175.55171,turkmence
-5.6822004,-331.2225,158.71613,turkmence
-5.750908,-333.26178,164.89952,turkmence
-5.6721888,-352.68118,179.85129,turkmence
-5.701861,-330.819,163.57515,turkmence
-5.6367555,-322.21262,188.62184,turkmence
-5.6144385,-332.79208,151.81677,turkmence
-5.783577,-368.49796,174.62546,turkmence
-5.7757177,-350.35822,162.60924,turkmence
-5.427083,-334.55,171.18382,turkmence
-5.756988,-359.93573,168.517,turkmence
-5.914919,-339.52988,157.3615,turkmence
-5.5119715,-334.0003,177.24452,turkmence
-5.3547964,-329.98108,184.62262,turkmence
-5.2560186,-319.45453,181.68826,turkmence
-5.614991,-353.26855,169.93951,turkmence
-5.8516297,-335.40518,151.19276,turkmence
-5.7525215,-330.2101,157.894,turkmence
-5.8368335,-325.1347,153.7258,turkmence
-5.4327116,-342.0721,168.09544,turkmence
-5.452529,-326.08035,177.08757,turkmence
-5.45809,-335.49747,174.92923,turkmence
-5.6059556,-349.25446,175.94902,turkmence
-5.5259867,-330.77905,166.46121,turkmence
-5.9963126,-320.06653,155.66998,turkmence
-5.664856,-342.2087,180.69447,turkmence
-5.4898167,-342.37656,181.57759,turkmence
-5.5430884,-330.2132,176.72151,turkmence
-5.5826087,-339.2221,167.3399,turkmence
-5.2196064,-325.60596,186.7308,turkmence
-5.589338,-334.4679,175.68951,turkmence
-5.6631856,-327.2834,166.07616,turkmence
-5.6267757,-326.71548,171.21303,turkmence
-5.5148273,-354.3977,174.67159,turkmence
-5.6158795,-366.26492,195.28119,turkmence
-5.7323914,-353.49988,169.2038,turkmence
-5.58795,-366.84338,181.17172,turkmence
-4.1745496,-308.18262,110.64557,turkmence
-6.4795694,-352.73077,134.30904,turkmence
-6.13169,-323.12564,130.38004,turkmence
-6.173214,-342.37137,142.13095,turkmence
-6.35186,-342.0913,144.46254,turkmence
-6.194664,-348.9787,124.60121,turkmence
-6.2165136,-330.76685,133.2931,turkmence
-6.51643,-340.1229,133.79532,turkmence
-6.2384357,-332.36804,133.93666,turkmence
-6.350563,-332.3144,120.108925,turkmence
-6.3864202,-358.26428,120.63773,turkmence
-6.430752,-336.184,124.45472,turkmence
-6.2424307,-335.87045,123.64897,turkmence
-6.198,-325.62067,132.09949,turkmence
-6.1443243,-340.7299,137.55489,turkmence
-6.3031507,-351.25125,131.62688,turkmence
-6.4885774,-360.7947,120.597984,turkmence
-6.287669,-315.6357,144.13309,turkmence
-6.3148537,-345.67563,136.863,turkmence
-6.0668554,-323.55807,136.2916,turkmence
-6.368824,-344.72687,131.37532,turkmence
